"rr","year","revenue","rrcode","revenue.ton.miles","price","price.capital","quantity.capital","price.cars","price.locomotives","quantity.cars","quantity.locomotives","quantity.fuel","price.fuel","price.labor","quantity.labor","average.length.of.haul","miles.of.road","percent.unit","percent.bulk"
"SOO",1988,1081309968.75772,137700,20609252000,0.0524672107826972,NA,NA,2967.91075715507,36094.3655296256,12295,424,56939000,0.82349563524614,38.4606736598475,9411000,393.0737915,5807,0.1167443345348,0.295049741715074
"SOO",1989,968939964.61821,137700,20491766000,0.0472843562930696,NA,NA,2536.50810767792,36859.6218768855,12673,393,54606934,0.898911232732942,38.4675614394454,8868000,396.681366,5770,0.157267447715341,0.304274601817798
"SOO",1990,987397091.08044,137700,22928304000,0.0430645498716538,NA,NA,2543.58447577131,36780.3691225314,12043,397,57281700,1.05489560882077,36.3983846614674,9250943,415.9631348,5293,0.167269232858773,0.297848866182061
"SOO",1991,936780112.315112,137700,22869334000,0.040962282168563,NA,NA,2525.42865461645,36048.1108549569,11614,374,54660000,0.925975674873585,35.0400268721658,9236007,406.0822449,5045,0.166051314437054,0.303689082271933
"SOO",1992,906324180.518457,137700,22905393000,0.0395681567445037,NA,NA,2307.09145661273,34533.7131219802,11695,373,53481000,0.872110597453727,34.8895247179862,8978513,373.5204163,5033,0.137913875566335,0.313168709328214
"SOO",1993,914436857.917521,137700,22964547000,0.0398195034248889,NA,NA,2972.72819832535,33751.5979783881,8949,373,52616000,0.833686226302655,33.6756546397288,9016287,391.5123291,5062,0.165561230614932,0.309685336327315
"SOO",1994,611664447.848877,137700,20555959000,0.0297560647911818,NA,NA,4335.7773833186,32026.2055159038,9458,373,49901000,0.770150967958724,34.1310538373687,8257568,392.8891296,5139,0.217571532236349,0.221925557253791
"SOO",1995,971390044.675319,137700,24881529000,0.0390406089865024,NA,NA,5633.65497526273,30229.3243414237,10600,373,57407000,0.752852832988021,32.3475043046251,8502465,414.7958374,5130,0.19840771914787,0.273623687529848
"SOO",1996,899608534.462457,137700,24683873000,0.0364451937693269,NA,NA,6557.55971624249,27934.0103345209,11868,362,60531000,0.868576220598948,33.3570073788322,8052251,411.5281982,4980,0.191590452195245,0.269793189594991
"SOO",1997,824677246.860512,137700,21471958000,0.038407174923708,NA,NA,6636.25494582978,30870.6970079721,10928,333,49582000,0.884989559907691,32.5063422194368,6925581,364.2339783,3364,0.223782810817719,0.245686773620597
"SOO",1998,753090734.893158,137700,20406552000,0.0369043596827704,NA,NA,4559.23977308614,98257.2641449189,13909,393,46631000,0.644885387354958,33.9184906850154,6660217,369.1889954,3358,0.230657990099676,0.244868485521125
"SOO",1999,715494012.0658,137700,20574825000,0.034775217386578,0.148670196841753,1023057418.71823,4543.06447473239,112117.299331247,13126,363,45939000,0.74172312329061,33.3538371211994,6282642,379.7073975,3261,0.277801340180158,0.274334111694193
"SOO",2000,725149010.173052,137700,21972217000,0.0330029969289422,0.148644578443961,1036022129.13547,4511.48454834462,34503.3640540171,12234,362,45452000,1.17538914897869,35.8859799197981,5772734,418.9333496,3225,0.296089433584168,0.287932921830025
